group_id,channel,window_id,t_start,t_end,alpha,sign,repeat_idx,delta_probe,projection_linf,theta_hash,query_id,rho_xy_velocity,rho_xy_drift,rho_alt_drift
0,roll,0,0.0,0.5,0.44921875,+,0,0.2,0.06230468750000001,e05f07a50e9d23a3,e05f07a50e9d23a3_px4_position_0_stage1_redo_delta020_pointV_g00_plus_repeat0,0.0596530685345541,1.0950498478822395,0.9083833694458008
0,roll,0,0.0,0.5,0.44921875,-,0,0.2,0.06230468750000001,f99d2bce26bd3e1d,f99d2bce26bd3e1d_px4_position_0_stage1_redo_delta020_pointV_g00_minus_repeat0,0.008007868195334833,1.103592102641942,0.916165828704834
0,roll,0,0.0,0.5,0.44921875,+,1,0.2,0.06230468750000001,e05f07a50e9d23a3,e05f07a50e9d23a3_px4_position_0_stage1_redo_delta020_pointV_g00_plus_repeat1,0.051189735433156525,1.101009236105349,0.908205509185791
0,roll,0,0.0,0.5,0.44921875,-,1,0.2,0.06230468750000001,f99d2bce26bd3e1d,f99d2bce26bd3e1d_px4_position_0_stage1_redo_delta020_pointV_g00_minus_repeat1,-0.002781748187274724,1.0525268506101622,0.9067020416259766
0,roll,0,0.0,0.5,0.44921875,+,2,0.2,0.06230468750000001,e05f07a50e9d23a3,e05f07a50e9d23a3_px4_position_0_stage1_redo_delta020_pointV_g00_plus_repeat2,0.010366287600893864,0.9991995915088039,0.9069838523864746
0,roll,0,0.0,0.5,0.44921875,-,2,0.2,0.06230468750000001,f99d2bce26bd3e1d,f99d2bce26bd3e1d_px4_position_0_stage1_redo_delta020_pointV_g00_minus_repeat2,0.017953425579524174,1.0024159425775387,0.905189037322998
1,pitch,0,0.0,0.5,0.44921875,+,0,0.2,0.06230468750000001,714e30b797b29e35,714e30b797b29e35_px4_position_0_stage1_redo_delta020_pointV_g01_plus_repeat0,0.03313652551973034,1.0761930952319174,0.9202632904052734
1,pitch,0,0.0,0.5,0.44921875,-,0,0.2,0.06230468750000001,370a7ffa865bf721,370a7ffa865bf721_px4_position_0_stage1_redo_delta020_pointV_g01_minus_repeat0,-0.02148996958759275,1.0429619386616777,0.9100914001464844
1,pitch,0,0.0,0.5,0.44921875,+,1,0.2,0.06230468750000001,714e30b797b29e35,714e30b797b29e35_px4_position_0_stage1_redo_delta020_pointV_g01_plus_repeat1,-0.03372334118469844,1.0160429563196998,0.9186210632324219
1,pitch,0,0.0,0.5,0.44921875,-,1,0.2,0.06230468750000001,370a7ffa865bf721,370a7ffa865bf721_px4_position_0_stage1_redo_delta020_pointV_g01_minus_repeat1,-0.02191562361478483,0.9850307309885156,0.9158473014831543
1,pitch,0,0.0,0.5,0.44921875,+,2,0.2,0.06230468750000001,714e30b797b29e35,714e30b797b29e35_px4_position_0_stage1_redo_delta020_pointV_g01_plus_repeat2,-0.01762240320370645,1.0146060991541002,0.9078989028930664
1,pitch,0,0.0,0.5,0.44921875,-,2,0.2,0.06230468750000001,370a7ffa865bf721,370a7ffa865bf721_px4_position_0_stage1_redo_delta020_pointV_g01_minus_repeat2,0.05703525863521641,1.1298082024177596,0.9141554832458496
2,yaw,0,0.0,0.5,0.44921875,+,0,0.2,0.06230468750000001,36bd23bf3dc30e1a,36bd23bf3dc30e1a_px4_position_0_stage1_redo_delta020_pointV_g02_plus_repeat0,0.018527584975309153,1.098006111583982,0.908043384552002
2,yaw,0,0.0,0.5,0.44921875,-,0,0.2,0.06230468750000001,86efa49d33163398,86efa49d33163398_px4_position_0_stage1_redo_delta020_pointV_g02_minus_repeat0,-0.06887917446907244,0.9721009136923284,0.9130086898803711
2,yaw,0,0.0,0.5,0.44921875,+,1,0.2,0.06230468750000001,36bd23bf3dc30e1a,36bd23bf3dc30e1a_px4_position_0_stage1_redo_delta020_pointV_g02_plus_repeat1,0.06631237495931108,1.1176264123832116,0.9105567932128906
2,yaw,0,0.0,0.5,0.44921875,-,1,0.2,0.06230468750000001,86efa49d33163398,86efa49d33163398_px4_position_0_stage1_redo_delta020_pointV_g02_minus_repeat1,0.10123309235335276,1.1645241206791435,0.9080314636230469
2,yaw,0,0.0,0.5,0.44921875,+,2,0.2,0.06230468750000001,36bd23bf3dc30e1a,36bd23bf3dc30e1a_px4_position_0_stage1_redo_delta020_pointV_g02_plus_repeat2,0.018913045754780256,1.1346786765620749,0.9155154228210449
2,yaw,0,0.0,0.5,0.44921875,-,2,0.2,0.06230468750000001,86efa49d33163398,86efa49d33163398_px4_position_0_stage1_redo_delta020_pointV_g02_minus_repeat2,0.08509580469675782,1.1493135288279763,0.9157295227050781
3,throttle,0,0.0,0.5,0.44921875,+,0,0.2,0.06230468750000001,1e46417d874a8808,1e46417d874a8808_px4_position_0_stage1_redo_delta020_pointV_g03_plus_repeat0,-0.010617748397087956,1.0240346155942674,0.9103250503540039
3,throttle,0,0.0,0.5,0.44921875,-,0,0.2,0.008211582483107022,d93bcc2de72c36c6,d93bcc2de72c36c6_px4_position_0_stage1_redo_delta020_pointV_g03_minus_repeat0,0.02125888635694584,1.1345206091757403,0.9085354804992676
3,throttle,0,0.0,0.5,0.44921875,+,1,0.2,0.06230468750000001,1e46417d874a8808,1e46417d874a8808_px4_position_0_stage1_redo_delta020_pointV_g03_plus_repeat1,-0.06915314162541719,0.9298896242638426,0.9087615013122559
3,throttle,0,0.0,0.5,0.44921875,-,1,0.2,0.008211582483107022,d93bcc2de72c36c6,d93bcc2de72c36c6_px4_position_0_stage1_redo_delta020_pointV_g03_minus_repeat1,0.046695484738704995,1.1045180363570157,0.9138031005859375
3,throttle,0,0.0,0.5,0.44921875,+,2,0.2,0.06230468750000001,1e46417d874a8808,1e46417d874a8808_px4_position_0_stage1_redo_delta020_pointV_g03_plus_repeat2,0.05909132136864903,1.101863016664071,0.9058613777160645
3,throttle,0,0.0,0.5,0.44921875,-,2,0.2,0.008211582483107022,d93bcc2de72c36c6,d93bcc2de72c36c6_px4_position_0_stage1_redo_delta020_pointV_g03_minus_repeat2,0.022363128068415006,1.0823388539383887,0.9194331169128418
4,roll,1,0.5,1.0,0.44921875,+,0,0.2,0.06230468750000001,7249aa30f60683ea,7249aa30f60683ea_px4_position_0_stage1_redo_delta020_pointV_g04_plus_repeat0,-0.044273835360557845,0.9913111683590534,0.9108052253723145
4,roll,1,0.5,1.0,0.44921875,-,0,0.2,0.03984375000000001,de6bc3b55c0591e3,de6bc3b55c0591e3_px4_position_0_stage1_redo_delta020_pointV_g04_minus_repeat0,-0.021504058172556517,1.0216402403811624,0.9188270568847656
4,roll,1,0.5,1.0,0.44921875,+,1,0.2,0.06230468750000001,7249aa30f60683ea,7249aa30f60683ea_px4_position_0_stage1_redo_delta020_pointV_g04_plus_repeat1,-0.02042342216507209,1.0255595320017272,0.912602424621582
4,roll,1,0.5,1.0,0.44921875,-,1,0.2,0.03984375000000001,de6bc3b55c0591e3,de6bc3b55c0591e3_px4_position_0_stage1_redo_delta020_pointV_g04_minus_repeat1,0.05461108308228635,1.1148217825858806,0.9201440811157227
4,roll,1,0.5,1.0,0.44921875,+,2,0.2,0.06230468750000001,7249aa30f60683ea,7249aa30f60683ea_px4_position_0_stage1_redo_delta020_pointV_g04_plus_repeat2,-0.002999227366915269,1.0678790544444516,0.9091739654541016
4,roll,1,0.5,1.0,0.44921875,-,2,0.2,0.03984375000000001,de6bc3b55c0591e3,de6bc3b55c0591e3_px4_position_0_stage1_redo_delta020_pointV_g04_minus_repeat2,0.03086243424958368,1.0260093388963405,0.9106135368347168
5,pitch,1,0.5,1.0,0.44921875,+,0,0.2,0.03984375000000001,4172217170f0bb5d,4172217170f0bb5d_px4_position_0_stage1_redo_delta020_pointV_g05_plus_repeat0,0.06918624761584324,1.1103649125373827,0.9011263847351074
5,pitch,1,0.5,1.0,0.44921875,-,0,0.2,0.06230468750000001,569f82804ae40c90,569f82804ae40c90_px4_position_0_stage1_redo_delta020_pointV_g05_minus_repeat0,-0.04514446222028856,0.9762419236226865,0.9019331932067871
5,pitch,1,0.5,1.0,0.44921875,+,1,0.2,0.03984375000000001,4172217170f0bb5d,4172217170f0bb5d_px4_position_0_stage1_redo_delta020_pointV_g05_plus_repeat1,0.01777919832185826,1.056086835894137,0.9075174331665039
5,pitch,1,0.5,1.0,0.44921875,-,1,0.2,0.06230468750000001,569f82804ae40c90,569f82804ae40c90_px4_position_0_stage1_redo_delta020_pointV_g05_minus_repeat1,0.04349620925234565,1.0549420062323431,0.9077115058898926
5,pitch,1,0.5,1.0,0.44921875,+,2,0.2,0.03984375000000001,4172217170f0bb5d,4172217170f0bb5d_px4_position_0_stage1_redo_delta020_pointV_g05_plus_repeat2,-0.025025105756222743,1.0417214205296184,0.9069614410400391
5,pitch,1,0.5,1.0,0.44921875,-,2,0.2,0.06230468750000001,569f82804ae40c90,569f82804ae40c90_px4_position_0_stage1_redo_delta020_pointV_g05_minus_repeat2,0.005394765119535738,1.062381469069312,0.9019327163696289
6,yaw,1,0.5,1.0,0.44921875,+,0,0.2,0.03984375000000001,2aebe650d1d4bf1a,2aebe650d1d4bf1a_px4_position_0_stage1_redo_delta020_pointV_g06_plus_repeat0,0.05307648459362646,1.0466043611401197,0.8992428779602051
6,yaw,1,0.5,1.0,0.44921875,-,0,0.2,0.06230468750000001,e26b7da989dfb556,e26b7da989dfb556_px4_position_0_stage1_redo_delta020_pointV_g06_minus_repeat0,-0.03699082721760827,0.9760671500908376,0.9101653099060059
6,yaw,1,0.5,1.0,0.44921875,+,1,0.2,0.03984375000000001,2aebe650d1d4bf1a,2aebe650d1d4bf1a_px4_position_0_stage1_redo_delta020_pointV_g06_plus_repeat1,-0.037088941856584956,1.0105873143619375,0.9173974990844727
6,yaw,1,0.5,1.0,0.44921875,-,1,0.2,0.06230468750000001,e26b7da989dfb556,e26b7da989dfb556_px4_position_0_stage1_redo_delta020_pointV_g06_minus_repeat1,0.08740868498832643,1.1190939104244377,0.9190754890441895
6,yaw,1,0.5,1.0,0.44921875,+,2,0.2,0.03984375000000001,2aebe650d1d4bf1a,2aebe650d1d4bf1a_px4_position_0_stage1_redo_delta020_pointV_g06_plus_repeat2,0.061409658954031277,1.105883158233108,0.9139461517333984
6,yaw,1,0.5,1.0,0.44921875,-,2,0.2,0.06230468750000001,e26b7da989dfb556,e26b7da989dfb556_px4_position_0_stage1_redo_delta020_pointV_g06_minus_repeat2,-0.032619178051151554,0.9688473998217733,0.9077401161193848
7,throttle,1,0.5,1.0,0.44921875,+,0,0.2,0.00821158248310705,29612fdc66e4c1ba,29612fdc66e4c1ba_px4_position_0_stage1_redo_delta020_pointV_g07_plus_repeat0,-0.07411951485815438,0.9828419416166498,0.9087557792663574
7,throttle,1,0.5,1.0,0.44921875,-,0,0.2,0.06230468749999998,bf2d2e12e4c1356d,bf2d2e12e4c1356d_px4_position_0_stage1_redo_delta020_pointV_g07_minus_repeat0,0.03912547503408459,1.0794068358817948,0.9104657173156738
7,throttle,1,0.5,1.0,0.44921875,+,1,0.2,0.00821158248310705,29612fdc66e4c1ba,29612fdc66e4c1ba_px4_position_0_stage1_redo_delta020_pointV_g07_plus_repeat1,-0.005626097261109297,1.0385282389393744,0.9125514030456543
7,throttle,1,0.5,1.0,0.44921875,-,1,0.2,0.06230468749999998,bf2d2e12e4c1356d,bf2d2e12e4c1356d_px4_position_0_stage1_redo_delta020_pointV_g07_minus_repeat1,0.017746339521818477,1.0900137941513468,0.9061355590820312
7,throttle,1,0.5,1.0,0.44921875,+,2,0.2,0.00821158248310705,29612fdc66e4c1ba,29612fdc66e4c1ba_px4_position_0_stage1_redo_delta020_pointV_g07_plus_repeat2,-0.03902735371416255,0.9848356457574288,0.9004254341125488
7,throttle,1,0.5,1.0,0.44921875,-,2,0.2,0.06230468749999998,bf2d2e12e4c1356d,bf2d2e12e4c1356d_px4_position_0_stage1_redo_delta020_pointV_g07_minus_repeat2,-0.02831746493833176,1.0375728789632623,0.9075136184692383
8,roll,2,1.0,1.5,0.44921875,+,0,0.2,0.039843749999999956,180b356317f929f4,180b356317f929f4_px4_position_0_stage1_redo_delta020_pointV_g08_plus_repeat0,-0.06910784759985056,0.9865828743457628,0.9074921607971191
8,roll,2,1.0,1.5,0.44921875,-,0,0.2,0.0,87ffaee4c5de1773,87ffaee4c5de1773_px4_position_0_stage1_redo_delta020_pointV_g08_minus_repeat0,0.013358689873225194,1.0703472063683246,0.907188892364502
8,roll,2,1.0,1.5,0.44921875,+,1,0.2,0.039843749999999956,180b356317f929f4,180b356317f929f4_px4_position_0_stage1_redo_delta020_pointV_g08_plus_repeat1,-0.019644366409803826,0.9606791535762293,0.9078450202941895
8,roll,2,1.0,1.5,0.44921875,-,1,0.2,0.0,87ffaee4c5de1773,87ffaee4c5de1773_px4_position_0_stage1_redo_delta020_pointV_g08_minus_repeat1,0.08081948875778044,1.1221663889175337,0.920478343963623
8,roll,2,1.0,1.5,0.44921875,+,2,0.2,0.039843749999999956,180b356317f929f4,180b356317f929f4_px4_position_0_stage1_redo_delta020_pointV_g08_plus_repeat2,-0.0613619921262043,0.9916034147521566,0.9110274314880371
8,roll,2,1.0,1.5,0.44921875,-,2,0.2,0.0,87ffaee4c5de1773,87ffaee4c5de1773_px4_position_0_stage1_redo_delta020_pointV_g08_minus_repeat2,0.08374216368760212,1.15204181994888,0.9056077003479004
9,pitch,2,1.0,1.5,0.44921875,+,0,0.2,0.0,1733f5c553d942fa,1733f5c553d942fa_px4_position_0_stage1_redo_delta020_pointV_g09_plus_repeat0,0.04076492430340761,1.067101294025921,0.9089784622192383
9,pitch,2,1.0,1.5,0.44921875,-,0,0.2,0.039843749999999956,9b1c4d18407b314e,9b1c4d18407b314e_px4_position_0_stage1_redo_delta020_pointV_g09_minus_repeat0,-0.03457616579214462,1.0071382256845087,0.9026899337768555
9,pitch,2,1.0,1.5,0.44921875,+,1,0.2,0.0,1733f5c553d942fa,1733f5c553d942fa_px4_position_0_stage1_redo_delta020_pointV_g09_plus_repeat1,0.06903673247333597,1.0949881938217687,0.9113655090332031
9,pitch,2,1.0,1.5,0.44921875,-,1,0.2,0.039843749999999956,9b1c4d18407b314e,9b1c4d18407b314e_px4_position_0_stage1_redo_delta020_pointV_g09_minus_repeat1,0.030892627463851352,1.0776197172144508,0.920567512512207
9,pitch,2,1.0,1.5,0.44921875,+,2,0.2,0.0,1733f5c553d942fa,1733f5c553d942fa_px4_position_0_stage1_redo_delta020_pointV_g09_plus_repeat2,0.1194104683660755,1.1767707142407224,0.9184198379516602
9,pitch,2,1.0,1.5,0.44921875,-,2,0.2,0.039843749999999956,9b1c4d18407b314e,9b1c4d18407b314e_px4_position_0_stage1_redo_delta020_pointV_g09_minus_repeat2,0.017311016064391116,1.0376427211929031,0.9018411636352539
10,yaw,2,1.0,1.5,0.44921875,+,0,0.2,0.0,7f9ba77519e436bc,7f9ba77519e436bc_px4_position_0_stage1_redo_delta020_pointV_g10_plus_repeat0,-0.03562845112343083,0.9991185683916297,0.9149117469787598
10,yaw,2,1.0,1.5,0.44921875,-,0,0.2,0.039843749999999956,5c9f7870c51075fe,5c9f7870c51075fe_px4_position_0_stage1_redo_delta020_pointV_g10_minus_repeat0,-0.03159290215702981,1.003715810735087,0.8986921310424805
10,yaw,2,1.0,1.5,0.44921875,+,1,0.2,0.0,7f9ba77519e436bc,7f9ba77519e436bc_px4_position_0_stage1_redo_delta020_pointV_g10_plus_repeat1,0.035432510268960105,1.0601752541046798,0.9057459831237793
10,yaw,2,1.0,1.5,0.44921875,-,1,0.2,0.039843749999999956,5c9f7870c51075fe,5c9f7870c51075fe_px4_position_0_stage1_redo_delta020_pointV_g10_minus_repeat1,0.05159745498924673,1.1470947299425513,0.9091787338256836
10,yaw,2,1.0,1.5,0.44921875,+,2,0.2,0.0,7f9ba77519e436bc,7f9ba77519e436bc_px4_position_0_stage1_redo_delta020_pointV_g10_plus_repeat2,0.0478707651807444,1.0565195107204002,0.9039220809936523
10,yaw,2,1.0,1.5,0.44921875,-,2,0.2,0.039843749999999956,5c9f7870c51075fe,5c9f7870c51075fe_px4_position_0_stage1_redo_delta020_pointV_g10_minus_repeat2,-0.0361276970445783,1.009641962249245,0.9091415405273438
11,throttle,2,1.0,1.5,0.44921875,+,0,0.2,0.06230468750000001,e4f3cf83092a5245,e4f3cf83092a5245_px4_position_0_stage1_redo_delta020_pointV_g11_plus_repeat0,0.08320329391451164,1.167540554644399,0.9069809913635254
11,throttle,2,1.0,1.5,0.44921875,-,0,0.2,0.0,5b2ef5b6af5081c6,5b2ef5b6af5081c6_px4_position_0_stage1_redo_delta020_pointV_g11_minus_repeat0,-0.033148968018207325,1.0361851516730205,0.9056730270385742
11,throttle,2,1.0,1.5,0.44921875,+,1,0.2,0.06230468750000001,e4f3cf83092a5245,e4f3cf83092a5245_px4_position_0_stage1_redo_delta020_pointV_g11_plus_repeat1,0.00735730758056985,1.0726024465600552,0.9118266105651855
11,throttle,2,1.0,1.5,0.44921875,-,1,0.2,0.0,5b2ef5b6af5081c6,5b2ef5b6af5081c6_px4_position_0_stage1_redo_delta020_pointV_g11_minus_repeat1,0.05124651258874413,1.092574595309893,0.905329704284668
11,throttle,2,1.0,1.5,0.44921875,+,2,0.2,0.06230468750000001,e4f3cf83092a5245,e4f3cf83092a5245_px4_position_0_stage1_redo_delta020_pointV_g11_plus_repeat2,-0.017573480100685712,0.9868494744205822,0.9103431701660156
11,throttle,2,1.0,1.5,0.44921875,-,2,0.2,0.0,5b2ef5b6af5081c6,5b2ef5b6af5081c6_px4_position_0_stage1_redo_delta020_pointV_g11_minus_repeat2,-0.011594869000697505,1.0510232082322977,0.9125790596008301
12,roll,3,1.5,2.0,0.44921875,+,0,0.2,0.0,d53ae468287f7dba,d53ae468287f7dba_px4_position_0_stage1_redo_delta020_pointV_g12_plus_repeat0,-0.037694480261593055,0.9729359914161624,0.9143390655517578
12,roll,3,1.5,2.0,0.44921875,-,0,0.2,0.0,89a9e09cb2e41ec2,89a9e09cb2e41ec2_px4_position_0_stage1_redo_delta020_pointV_g12_minus_repeat0,0.039003644283633454,1.0440464676926002,0.9116044044494629
12,roll,3,1.5,2.0,0.44921875,+,1,0.2,0.0,d53ae468287f7dba,d53ae468287f7dba_px4_position_0_stage1_redo_delta020_pointV_g12_plus_repeat1,-0.05819402413623398,0.9924211172467121,0.9034185409545898
12,roll,3,1.5,2.0,0.44921875,-,1,0.2,0.0,89a9e09cb2e41ec2,89a9e09cb2e41ec2_px4_position_0_stage1_redo_delta020_pointV_g12_minus_repeat1,0.0011816970551051798,1.0840695897902526,0.9076886177062988
12,roll,3,1.5,2.0,0.44921875,+,2,0.2,0.0,d53ae468287f7dba,d53ae468287f7dba_px4_position_0_stage1_redo_delta020_pointV_g12_plus_repeat2,-0.013205254922010301,1.072183353679219,0.9031844139099121
